Vila,Value Stream,Squad,Referência,Velocidade - Sem time,Velocidade - Histórias sem time,"Velocidade - Épico iniciado, com status Identificado",Velocidade - épico pode mover para Em execução,Velocidade - épico pode mover para Executado,Velocidade - épico pode mover para Em Medição,Velocidade - História pode mover para Em Desenvolvimento,Velocidade - História pode mover para Desenvolvido,Velocidade - História pode mover para Testada,Velocidade - História pode mover para Homologada,Eficiencia - Geral sem APF preenchido,Eficiencia - Potential sem APF preenchido,Eficiencia - Activated sem APF preenchido,Qualidade - Defeitos sem time,Qualidade - Issues BURN sem time preenchido,Qualidade - Defeitos sem fase preenchido,Qualidade - Historias sem APF,Qualidade - Defeitos sem horas logadas,Qualidade - Burn sem log de horas
Alta Venda,ASSESSORIA E RECOMENDAÇÃO DE INVESTIMENTOS,ASGARD,True,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1
Alta Venda,ASSESSORIA E RECOMENDAÇÃO DE INVESTIMENTOS,MOSCOU,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Alta Venda,ASSESSORIA E RECOMENDAÇÃO DE INVESTIMENTOS,RIO,True,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9
Alta Venda,POSIÇÃO DE EVOLUÇÃO DA CARTEIRA DE INVESTIMENTOS,SPARTANS,True,0,1,2,0,0,0,7,0,0,0,0,0,0,2,166,0,0,0,44
Alta Venda,POSIÇÃO DE EVOLUÇÃO DA CARTEIRA DE INVESTIMENTOS,PANDORA,True,0,1,0,0,0,0,0,0,0,18,0,0,0,2,166,0,0,0,8
Alta Venda,HABILITAÇÃO DE PRODUTOS NOS CANAIS,BERLIM,True,0,0,2,1,0,2,0,0,0,0,6,0,3,45,707,0,6,1,1
Alta Venda,HABILITAÇÃO DE PRODUTOS NOS CANAIS,TOQUIO,True,0,0,0,0,0,0,0,0,0,1,0,0,0,45,707,0,0,1,0
Alta Venda,HABILITAÇÃO DE PRODUTOS NOS CANAIS,COSMO,True,0,0,0,0,0,0,2,0,0,0,0,0,0,45,707,0,0,9,3
Alta Venda,PRIVATE | OFERTA DIGITAL,BLUE,True,2,27,0,0,0,0,1,0,1,1,0,0,0,19,111,0,0,1,7
Alta Venda,PRIVATE | OFERTA DIGITAL,DELTA,True,2,27,1,0,0,1,0,0,0,0,0,0,0,19,111,0,0,0,12
Atacado,WIN - WHOLESALE INTELLIGENCE,Dados,True,0,0,0,0,2,2,1,2,0,0,1,0,0,3,162,0,1,19,112
Atacado,WIN - WHOLESALE INTELLIGENCE,Analytics,True,0,0,0,0,1,0,3,1,0,0,1,0,0,3,162,0,1,1,22
Atacado,WIN - WHOLESALE INTELLIGENCE,Indicadores,True,0,37,0,0,1,4,0,0,0,6,2,0,0,7,106,0,2,31,119
Atacado,WIN - WHOLESALE INTELLIGENCE,JORNADARM,False,0,0,1,1,0,0,4,1,0,16,12,0,8,0,0,0,12,49,61
Atacado,WIN - WHOLESALE INTELLIGENCE,JORNADARE,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Atacado,SALA DE CREDITO,JOANA_DARC,False,0,0,0,1,0,0,0,0,0,0,40,0,28,0,3,0,40,0,2
Atacado,SALA DE CREDITO,NEWTON,False,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Atacado,SALA DE CREDITO,MICHELANGELO,False,0,0,0,0,0,0,3,1,1,1,4,0,0,0,3,0,4,4,6
Atacado,SALA DE CREDITO,Gauss,False,0,0,1,0,0,0,0,1,1,1,8,0,5,0,3,0,8,0,2
Atacado,SALA DE CREDITO,Turing,False,0,0,0,0,0,0,0,0,0,0,10,0,8,0,3,0,10,0,23
Atacado,BGS -BRADESCO GLOBAL SOLUTIONS,automacao,False,0,4,0,0,0,0,0,0,1,14,0,0,0,6,13,0,0,4,42
Atacado,BGS -BRADESCO GLOBAL SOLUTIONS,DA,False,0,4,7,7,0,0,3,0,0,0,9,0,1,6,13,0,9,0,0
